Cathelicidin_201j2-1gp229-CBD_Vpept	48
TP4_KZ144-CBD_Vpept	47
SMAP29_K11gp3.5_BcepC6Bgp22	47
Sarcotoxin_K11gp3.5_Phage2b.1bg019	47
Ranalexin_PVP-SE1gp146-CBD_BcepC6Bgp22	47
Piscidin_OBPgp279-CBD_Vpept	47
PAM2_201j2-1gp229-CBD_BcepC6Bgp22	47
LfcinB_KZ144-CBD_Vpept	47
Fowlicidin-2_K11gp3.5_CR8gp3.5	47
Buforin_KZ144-CBD_Vpept	47
Sushi_K11gp3.5_CR8gp3.5	46
Sarcotoxin_PVP-SE1gp146-CBD_Vpept	46
Sarcotoxin_PVP-SE1gp146-CBD_BcepC6Bgp22	46
Ranalexin_KZ144-CBD_Vpept	46
NRC-16_PVP-SE1gp146-CBD_BcepC6Bgp22	46
Melittin_PVP-SE1gp146-CBD_Vpept	46
FR2_PVP-SE1gp146-CBD_Vpept	46
Dermaseptin_PVP-SE1gp146-CBD_BcepC6Bgp22	46
Buforin_201j2-1gp229-CBD_BcepC6Bgp22	46
SMAP29_KZ144-CBD_Vpept	45
Piscidin_KZ144-CBD_BcepC6Bgp22	45
Melittin_PVP-SE1gp146-CBD_BcepC6Bgp22	45
Indolicidin_201j2-1gp229-CBD_BcepC6Bgp22	45
Cecropin_KZ144-CBD_Vpept	45
CecropinAD_201j2-1gp229-CBD_BcepC6Bgp16	45
CecropinAA_201j2-1gp229-CBD_Vpept	45
Ascaphine_EL188-CBD_BcepC6Bgp22	45
TP4_201j2-1gp229-CBD_Vpept	44
SMAP29_OBPgp279-CBD_BcepC6Bgp22	44
SMAP29_201j2-1gp229-CBD_PVP-SE1gp146-EAD	44
Piscidin_EL188-CBD_BcepC6Bgp22	44
Piscidin_201j2-1gp229-CBD_Vpept	44
Piscidin119K_EL188-CBD_BcepC6Bgp22	44
Piscidin119K_201j2-1gp229-CBD_Vpept	44
PAM2_201j2-1gp229-CBD_Vpept	44
NRC-16_KZ144-CBD_Vpept	44
NRC-16_KZ144-CBD_BcepC6Bgp22	44
